epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.078,1.38223,2.05713,1.57814,0.99202,0.07417,0.09196,0.06773,1.40653,2.06599,1.59938,0.000207213,0.000207213,0.000207213
2,280.218,1.33138,1.31558,1.48787,0.43509,0.26679,0.22223,0.12515,1.20057,1.93598,1.45813,0.000412804,0.000412804,0.000412804
3,425.305,1.28719,1.22049,1.43992,0.23586,0.44805,0.31347,0.16461,1.11703,1.31307,1.34304,0.000615645,0.000615645,0.000615645
4,564.928,1.31512,1.17095,1.44392,0.39237,0.48615,0.36251,0.18912,1.02814,1.1608,1.27741,0.000612625,0.000612625,0.000612625
5,718.74,1.26599,1.08685,1.41822,0.43024,0.39846,0.37322,0.20627,1.19742,1.1624,1.51394,0.0006085,0.0006085,0.0006085
6,866.569,1.23389,1.04224,1.39405,0.47176,0.41727,0.45754,0.25176,1.06233,1.03366,1.33724,0.000604375,0.000604375,0.000604375
7,1019.5,1.19401,0.9803,1.36092,0.44474,0.49849,0.43744,0.22018,1.07646,0.96687,1.33527,0.00060025,0.00060025,0.00060025
8,1166.02,1.19269,0.95635,1.36064,0.4777,0.52161,0.49622,0.25539,1.25934,1.06316,1.48472,0.000596125,0.000596125,0.000596125
9,1318.04,1.19309,0.96545,1.35445,0.47093,0.46155,0.49856,0.272,0.99242,0.97948,1.28043,0.000592,0.000592,0.000592
10,1468.27,1.15348,0.9247,1.32995,0.42393,0.54354,0.53111,0.29183,1.03353,0.96186,1.28644,0.000587875,0.000587875,0.000587875
11,1611.84,1.1374,0.89187,1.32937,0.43903,0.65962,0.58414,0.32943,0.9382,0.86589,1.18824,0.00058375,0.00058375,0.00058375
12,1758.32,1.15946,0.88555,1.33548,0.56274,0.51367,0.52611,0.30632,0.90641,0.84078,1.1827,0.000579625,0.000579625,0.000579625
